Date,Accounts_Subscriptions,Google_Display_Impressions,Google_Display_Cost,Meta_Impressions,Meta_Cost,Google_Generic_Paid_Search_Impressions,Google_Generic_Paid_Search_Cost,TV_GRP,TV_Cost,Influencers_Views,Influencers_Cost,Google_Branded_Paid_Search_Clicks,Google_Branded_Paid_Search_Cost,YouTube_Impressions,YouTube_Cost,Dates_School_Holidays,Competitors_Promotion,Promotion
2022-01-01,4182,49,5.293499732,3501804,11637.1932,152181,5322.2,0,0,0,0,4049,3580.52,1951,5572.056,0,14,14
2022-01-08,5167.5,1061,93.74473104,2896152,9171.1386,167010,8332.1816,0,0,698,2094,4497,5089.8,1914,5466.384,6,14,14
2022-01-15,6229,20,1.553699427,2214403,8847.93,179189,11375.9528,274.2857143,6308.571429,353,1059,5787,6805.89,4801,13711.656,7,14,14
2022-01-22,7801.5,3088,240.3010701,2567241,8113.6578,209859,10568.9024,1920,44160,58,174,7032,8085.96,5925,16921.8,7,14,14
2022-01-29,9505,11,1.175135015,3721507,11027.9868,214967,10806.54,1920,44160,88,264,6943,7761.05,13061,37302.216,7,14,14
2022-02-05,9369.5,3,0.125695538,2962649,9453.0312,195181,9430.7248,1920,44160,24,72,6750,7357.51,11350,32415.6,7,14,14
2022-02-12,8097.5,8,0.613163009,0,0,178741,9126.232,1645.714286,37851.42857,0,0,5765,6837.91,10644,30399.264,7,14,14
2022-02-19,6998,25,1.746156245,0,0,161906,7610.0464,0,0,0,0,5377,6103.27,28237,80644.872,7,14,14
2022-02-26,6876.5,1029,77.93691716,5248826,17014.9092,169392,8002.3304,0,0,0,0,5551,6235.58,9541,27249.096,7,14,14
2022-03-05,7117,9067,657.6267619,3581767,11053.7256,197356,9667.0464,0,0,0,0,3008,5058.12,6426,18352.656,7,14,14
2022-03-12,6581,310,26.53501379,3321122,10711.452,206683,8405.452,0,0,0,0,535,3134.12,6365,18178.44,7,14,14
2022-03-19,5451,242,18.22343632,1987648,6949.044,197381,9124.1496,0,0,0,0,535,3234.6,6050,17278.8,0,14,14
2022-03-26,4816.5,9665,598.8321266,1160709,4392.99,193519,8418.2464,0,0,0,0,479,3124.76,5548,15845.088,0,14,14
2022-04-02,5097,1,0.073047364,2176438,8249.7846,199023,8623.2904,0,0,0,0,570,3667.58,4865,13894.44,0,14,14
2022-04-09,5611,0,0,1712533,6206.754,206823,8587.3256,0,0,0,0,512,3522.7,5664,16176.384,0,14,14
2022-04-16,4853,0,0,1424444,5269.4616,186103,8104.1072,0,0,0,0,457,2857.9,5276,15068.256,0,14,14
2022-04-23,3869,0,0,1186353,5090.2248,197517,7845.3408,0,0,0,0,449,2937.64,4878,13931.568,0,14,14
2022-04-30,3597,0,0,1898428,7381.0296,192114,7445.0336,0,0,0,0,385,2319.88,5210,14879.76,0,14,14
2022-05-07,4163,0,0,1877373,7588.9176,210571,11075.5528,0,0,0,0,501,3400.53,4919,14048.664,0,14,14.28571429
2022-05-14,4940,0,0,2168073,8349.5172,235096,14496.1672,0,0,0,0,500,3440.76,4773,13631.688,0,14,15
2022-05-21,5194,0,0,2889250,10718.0832,335926,15868.3728,0,0,0,0,4166,8477.23,5192,14828.352,1,14,14.71428571
